Countries,Argentina,Australia,Indonesia,Malaysia,Thailand,Portugal,Norway,Sweden,Finland,Vietnam
Vehicles,Helicopter,Submarine,Tram,Jet,Glider,Yacht,Bulldozer,Excavator,Ambulance,Firetruck
Musical Instruments,Saxophone,Clarinet,Trombone,Ukulele,Accordion,Xylophone,Harmonica,Cello,Bongo,Oboe
Colors,Violet,Magenta,Turquoise,Indigo,Maroon,Olive,Coral,Teal,Lavender,Crimson
Body Parts,Shoulder,Elbow,Knee,Ankle,Chest,Back,Finger,Toe,Wrist,Forehead
School Objects,Compass,Protractor,Highlighter,Marker,Calculator,Clipboard,Sharpener,Stapler,Glue,Scissors
Kitchen Items,Toaster,Blender,Microwave,Whisk,Grater,Ladle,Colander,Tongs,Spatula,Peeler
Drinks,Cappuccino,Espresso,Latte,Smoothie,Mojito,Milkshake,IcedTea,GreenTea,Buttermilk,Lassi
Food,Lasagna,Biryani,Dosa,Tacos,Sushi,Dumplings,Risotto,Fajitas,Burrito,Ramen
Festivals,Hanukkah,Ramadan,Lohri,Thanksgiving,Carnival,Oktoberfest,Vesak,GaneshChaturthi,DurgaPuja,MakarSankranti
Inventors,Whitney,Farnsworth,Zuse,Daguerre,Otis,Dunlop,Bessemer,Eastman,Howe,Volta
Scientists,Rutherford,Bohr,Feynman,Planck,Hubble,Pasteur,Mendel,Raman,Chandrasekhar,Maxwell
Superheroes,GreenLantern,BlackPanther,DoctorStrange,Deadpool,CaptainMarvel,Nightwing,Cyborg,Shazam,Daredevil,Hawkeye
Astronomy,Galaxy,Nebula,Asteroid,Comet,Meteor,Eclipse,Constellation,Orbit,Satellite,BlackHole
Chemistry,Nitrogen,Helium,Neon,Calcium,Magnesium,Sodium,Potassium,Chlorine,Phosphorus,Sulfur
Biology,Nucleus,Cytoplasm,Tissue,Organ,DigestiveSystem,Respiration,Photosynthesis,Chlorophyll,Mammal,Reptile
Mathematics,Equation,Algebra,Geometry,Decimal,Percentage,Variable,Graph,Function,Radius,Diameter
Books,Frankenstein,OliverTwist,TreasureIsland,MobyDick,PeterPan,GulliversTravels,RobinsonCrusoe,Inferno,DonQuixote,Coraline
Mythology,Poseidon,Persephone,Medusa,Hermes,Artemis,Ares,Freya,Tyr,Hel,Osiris
World Wonders,AngkorWat,BurjKhalifa,Acropolis,Stonehenge,SydneyOperaHouse,MountRushmore,GoldenGateBridge,ChristRedeemer,ForbiddenCity,Versailles
Furniture,Wardrobe,Bookshelf,Dresser,Recliner,Cabinet,Ottoman,Nightstand,RockingChair,BeanBag,BunkBed
Clothing,Jacket,Sweater,Hoodie,Blazer,Waistcoat,Cardigan,Skirt,Trousers,Overcoat,Tunic
Shapes,Hexagon,Pentagon,Octagon,Parallelogram,Trapezium,Rhombus,Cylinder,Prism,Pyramid,Sphere
